Unnamed: 0,סוג הנכס,עיר,שכונה,רחוב,חדרים,קומה,מחיר,מטרים,לשוטפים,ריהוט,מעלית,מזגן,חניה,מרפסת,סורגים,ממד,מחסן,משופצת,דוד שמש,חיות מחמד,תאור
0,דו משפחתי,ירושלים והסביבה,מבשרת ציון,הגפן 16,5.0,2,8500,130.0,0,0,0,1,1,1,0,0,1,1,1,0,"כניסה מידית,משופצת ברמה גבוהה,נוף מהמם ומקסים,מרפסת גג ענקית,דוד שמש עים קולטים,מזגנים בכל החדרים קור וחום,3 מרפסות קדמית ואחורנית,2 חניות,מיטבח עים 2 כיורים,כיווני אוויר מעולה,2 שירותים בשני הקומות,אפשרות לטווח ארוך,"
1,דירה,נתניה והסביבה,כפר יונה,חנה רובינא  1,4.0,1,5200,120.0,0,0,0,0,0,1,0,0,0,0,0,0,"דירה בבניין חדש של בריגה בשכונת ""יפה נוף"" החדשה בכפר יונה.
לובי מפואר, חדר כושר, מועדון דיירים, מגרש משחקים צמוד (חלק מהפרוייקט), מחסן צמוד לדירה, מרפסת עם נוף לשדות, וחניה תת קרקעית."
2,דירת גן,מושבים בשרון,עזריאל,הרימון 40,2.5,0,4000,78.0,0,0,0,0,0,1,0,0,0,0,0,0,דירת גן ממוקמת במקום מוקף עצי נוי ופרי מעוצבת כמלון בוטיק וכפרי עם מרפסת שמש חיצונית עם גינה פרטית כולל מיזוג שתי כניסות מקום שקט ואוירה נעימה ובריאה ללא זיהום להתעורר בבוקר עם פריחת עצי פרי בחדר השינה בקיצור מושלמת
3,דירה,רעננה - כפר סבא,כפר סבא,לוונברג 10,5.0,1,8500,130.0,0,0,1,1,1,1,0,1,1,0,0,0,"שקט מאוד, צמוד לפארק עם נוף אליו מחדרי השינה.
שתי חניות ומחסן
סלון מרווח מאוד."
4,יחידת דיור,חדרה וישובי עמק חפר,חניאל,הגיא 461,2.0,0,2800,30.0,0,0,0,1,0,1,1,1,0,1,0,0,"מחיר כולל ארנונה ומים, לא כולל חשמל, מונה חשמל נפרד, כלב רק בחצר ומחוסן וקשור, יש wifi יש חנייה ברחוב"
5,פרטי/קוטג',מושבים בדרום,שדה צבי,האלון 81,5.5,0,6000,135.0,0,0,0,1,1,1,0,1,0,0,0,0,"בית חדש בעיצוב מהמם 
4 חדרי שינה גדולים מרווחים(מתוכם 2 ממד""ים
2 מקלחות מרווחות
סלון גדול,מטבח ופינת אוכל
4 מרפסות
חנייה פרטית
נוף מהמם
5 דק מבית קמה / כביש 6 
לפרטים 
חיים 0506270981
טל 0549898323"
6,דירה,רמלה - לוד,רמלה,המרכז האזרחי;משכנות,3.0,5,5000,78.0,0,0,1,1,1,1,0,1,0,0,0,0,"דירה מהממת, חדשה מקבלן בשכונה חדשה, שני חדרי שירותים ומקלחות, הדירה מוארת עם מרפסת גדולה ונוף פתוח 78 מ""ר + 15 מ""ר מרפסת, חניה פרטית קרובה, אינטרקום tv, מיזוג מרכזי וגישה נוחה מאוד לכביש המהיר.
כניסה מידית."
7,יחידת דיור,נס ציונה - רחובות,קרית עקרון,שבזי 49,3.0,0,3500,45.0,0,0,0,1,1,1,0,0,0,1,0,0,"יחידת דיור שמורה ומיוחדת, 45 מ""ר ,3 חדרים, ממוקמת באיזור השקט ביותר בקרית עקרון .
המחיר כולל HOT ארנונה ואנטרנט. חשמל ומים שעונים נפרדים, .כניסה נפרדת  אפשרי לשלוח וואטסאפ. 3,500 ש""ח, חניה בשפע על הרחוב ובעלי דירה מקסימים"
8,דירה,ירושלים והסביבה,ירושלים,גילה,5.0,1,6900,130.0,0,0,0,0,0,1,0,0,0,0,0,0,"דירת 5 חדרים מרווחת מאוד כ-130 מ""ר בנוי ועוד 80 מטר מרפסת
קומת קרקע עם כניסה נפרדת חנייה בשפע ברחוב שירותים כפולים מזגנים וסורגים בדירה.
חייב לראות"
9,דירת גן,באר שבע והסביבה,דימונה,שלום שבזי 11,3.0,1,3000,62.0,0,0,0,1,0,1,1,0,0,1,0,0,מיקום מעולה משופצת ברמה גבוהה קרוב למרכז חנויות ובתי ספר וגנים דירת גן
